scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
SBI Magnum Gilt Fund,Debt,Gilt Mutual Funds,3,5,0.46,4301.0,10,0.77,1.45,0.53,5.7,6.1,8.3,500
SBI Magnum Global Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.25,5257.0,10,1.42,3.66,0.64,1.6,24.1,11.5,500
SBI Magnum Income Fund,Debt,Medium to Long Duration Funds,4,4,0.8,1510.0,10,0.94,1.92,1.04,4.8,6.9,7.8,500
SBI Magnum Low Duration Fund,Debt,Low Duration Funds,3,3,0.4,7717.0,10,1.58,3.11,1.37,5.2,5.6,6.4,500
SBI Magnum Medium Duration Fund,Debt,Medium Duration Funds,4,4,0.69,7087.0,10,1.18,2.34,0.87,4.6,7.2,7.9,500
SBI Magnum Midcap Fund,Equity,Mid Cap Mutual Funds,6,4,0.97,8732.0,10,1.89,5.5,0.91,6.4,37.0,13.5,500
SBI Magnum Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,2,0.31,8907.0,10,1.49,2.47,1.2,5.2,5.1,6.1,2000
SBI Multi Asset Allocation Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,3,0.88,609.0,10,1.35,2.18,0.48,5.9,16.1,9.6,500
SBI Nifty Index Fund,Other,Index Funds,6,3,0.18,3324.0,10,1.31,-0.69,1,0.9,26.0,11.8,500
SBI Overnight Fund,Debt,Overnight Mutual Funds,1,2,0.1,19888.0,10,-0.05,0.56,0.43,5.3,3.9,4.6,2000
SBI PSU Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.42,505.0,10,1.1,-0.18,0.78,16.0,26.3,7.4,500
SBI Savings Fund,Debt,Money Market Funds,3,3,0.23,19441.0,10,1.93,2.73,1.19,5.5,5.3,6.2,500
SBI Short Term Debt Fund,Debt,Short Duration Funds,2,3,0.35,13289.0,10,1.02,5,2.44,4.6,6.4,6.8,500
SBI Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,0.7,15395.0,10,1.88,6.48,0.75,8.2,38.3,15.3,500
SBI Tax Advantage Fund,Equity,ELSS Mutual Funds,4,0,1.76,28.0,9,1.85,9.96,0.84,1.9,41.1,21.8,0
SBI Technology Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.87,2861.0,10,1.51,8.38,0.77,-8.7,37.1,21.0,500
Shriram Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,3,0.6,48.0,4,1.22,-0.22,0.53,2.9,13.9,8.9,1000
Shriram Flexi Cap Fund,Equity,Flexi Cap Funds,6,2,0.65,60.0,4,1.19,-2.52,0.85,1.4,21.5,8.9,1000
Shriram Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,0.65,56.0,9,1.16,-1.5,0.81,0.7,17.7,8.9,1000
Shriram Long Term Equity Fund,Equity,ELSS Mutual Funds,6,3,0.6,36.0,4,1.14,-3.01,0.83,0.8,20.1,8.9,500
Sundaram Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,5,4,0.67,2981.0,10,1.46,2.31,0.8,1.2,21.7,9.7,100
Sundaram Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,2,1,0.28,108.0,7,0.33,0.75,0.39,5.3,3.3,2.8,500
Sundaram Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,5,0.62,1532.0,10,1.51,2.13,0.51,3.9,11.9,7.2,500
Sundaram Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,2,0.19,450.0,10,0.48,3.49,2.13,3.5,5.0,6.1,250
Sundaram Consumption Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.46,1106.0,10,1.28,0.56,0.8,7.3,22.5,8.8,100
Sundaram Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,4,0.28,996.0,10,1.15,1.84,0.58,4.5,6.8,7.3,250
Sundaram Debt Oriented Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,3,2,1.2,30.0,10,1.33,2.48,0.62,4.1,11.6,6.2,100
Sundaram Diversified Equity – Direct Growth,Equity,ELSS Mutual Funds,6,2,1.66,1623.0,10,1.41,0.65,0.9,2.2,26.1,8.9,100
Sundaram Dividend Yield Fund,Equity,Dividend Yield Funds,6,0,1.02,382.0,10,1.55,2.79,0.8,3.2,26.4,11.7,500
Sundaram Emerging Small Cap Series III – Dir Growth,Equity,Small Cap Mutual Funds,2,0,0.75,297.0,5,1.97,8.84,0.86,9.4,43.7,8.9,0
Sundaram Emerging Small Cap Series IV – Dir Growth,Equity,Small Cap Mutual Funds,4,0,0.75,208.0,5,1.9,7.54,0.85,6.7,41.4,8.9,0
Sundaram Emerging Small Cap Series V – Dir Growth,Equity,Small Cap Mutual Funds,6,0,0.79,79.0,5,1.93,8.3,0.86,7.6,42.3,8.9,0
Sundaram Emerging Small Cap Series VI – Dir Growth,Equity,Small Cap Mutual Funds,6,0,0.77,41.0,5,1.95,8.43,0.84,7.8,41.9,8.9,0
Sundaram Emerging Small Cap Series VII – Dir Growth,Equity,Small Cap Mutual Funds,6,0,0.97,141.0,4,1.86,6.51,0.76,8.0,36.9,8.9,0
Sundaram Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,3,4,0.54,415.0,10,1.5,2.5,0.94,3.9,16.8,9.9,500
Sundaram Fin Serv Opportunities – Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,4,0.51,601.0,10,1.06,2.92,0.89,11.4,25.9,12.6,100
Sundaram Focused Fund,Equity,Focused Funds,6,4,1.2,771.0,10,1.22,-1.91,0.94,-1.8,24.5,13.1,100
Sundaram Global Brand Fund,Other,FoFs Overseas,6,0,1.42,117.0,10,0.88,-,-,2.4,20.5,7.7,100
Sundaram Infrastructure Advantage Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.87,594.0,10,1.55,6.79,0.68,7.3,32.5,9.1,100
Sundaram Large and Mid Cap Fund,Equity,Large & Mid Cap Funds,6,3,0.72,4885.0,10,1.43,1.94,0.93,-1.3,25.4,11.7,100
Sundaram Large Cap Fund,Equity,Large Cap Mutual Funds,6,5,0.6,2855.0,2,1.3,-0.51,0.91,0.9,18.5,8.9,100
Sundaram Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.17,4169.0,10,0.98,1.36,0.74,5.7,4.2,3.3,2000
Sundaram Low Duration Fund,Debt,Low Duration Funds,2,2,0.33,433.0,10,0.83,1.44,-1.59,5.6,4.9,1.8,2000
Sundaram LT MC Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.22,27.0,6,1.82,13.85,0.98,1.4,42.8,9.5,0
Sundaram LT MC Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.23,31.0,5,1.88,15.38,0.98,3.8,44.8,9.8,0
Sundaram LT MC Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.26,62.0,6,1.81,13.76,0.95,3.5,42.3,8.6,0
Sundaram LT Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.3,18.0,5,1.86,13.41,0.93,5.4,46.9,8.9,0
Sundaram LT Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.2,10.0,7,1.51,2.08,0.94,4.0,29.2,12.5,0
Sundaram LT Tax Advantage Fund,Equity,ELSS Mutual Funds,6,0,1.01,16.0,8,1.53,2.52,0.94,4.4,29.6,11.5,0
Sundaram Medium Term Bond Fund,Debt,Medium Duration Funds,3,2,1.11,45.0,10,0.05,-0.16,1.03,2.5,5.0,5.3,250
Sundaram Mid Cap Fund,Equity,Mid Cap Mutual Funds,6,2,1.04,7048.0,10,1.53,-1.14,0.87,4.3,27.4,8.2,100
Sundaram Money Market Fund,Debt,Money Market Funds,1,3,0.22,64.0,5,1.34,1.87,0.96,5.4,4.7,8.9,1000
Sundaram Multi Cap Fund,Equity,Multi Cap Funds,6,3,0.97,1795.0,10,1.48,2.11,0.9,-2.2,28.1,11.0,100
Sundaram Multi Cap Fund,Equity,Multi Cap Funds,6,0,0.79,84.0,5,1.39,0.55,0.91,1.5,25.0,8.9,0
Sundaram Multi Cap Fund,Equity,Multi Cap Funds,6,0,0.79,143.0,5,1.39,0.55,0.91,1.6,25.0,8.9,0
Sundaram Nifty 100 Equal Weight Fund,Other,Index Funds,6,2,0.46,52.0,10,1.27,-0.45,0.98,-3.1,26.2,8.2,500
Sundaram Overnight Fund,Debt,Overnight Mutual Funds,2,2,0.07,1006.0,4,-0.05,0.6,0.46,5.4,3.9,8.9,1000
Sundaram Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.93,2272.0,5,1.6,4.81,0.92,3.2,31.3,8.9,750
Sundaram Short Duration Fund,Debt,Short Duration Funds,2,5,0.28,200.0,10,0.86,2.16,-1.49,4.8,6.4,4.8,2000
Sundaram Small Cap Fund,Equity,Small Cap Mutual Funds,6,2,1.01,1962.0,10,1.88,6.06,0.83,1.6,44.9,9.3,250
Sundaram Tax Savings Fund,Equity,ELSS Mutual Funds,6,3,1.76,930.0,10,1.48,1.74,0.92,1.2,27.7,9.9,500
Sundaram Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,3,3,0.17,1412.0,10,1.85,2.16,0.99,5.7,4.7,4.5,2000
Tata Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,5,0.28,5925.0,4,1.36,1.94,0.69,5.7,5.0,8.9,150
Tata Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,4,0.28,6396.0,4,1.69,3.8,0.57,5.8,18.7,8.9,150
Tata Banking & Financial Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,4,0.59,1272.0,7,1,1.61,0.81,11.9,23.2,12.6,150
Tata Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,3,0.23,262.0,3,0.89,4.51,1.85,4.0,6.9,8.9,150
Tata Digital India Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.31,6765.0,7,1.37,6.11,0.92,-16.0,39.0,22.1,150
Tata Equity P/E Fund,Equity,Value Funds,6,2,0.91,5119.0,10,1.54,3.51,0.86,6.6,27.8,10.0,150
Tata Equity Saving Fund,Hybrid,Equity Savings Mutual Funds,4,3,0.12,142.0,10,1.54,2.17,0.81,3.4,12.0,7.5,150
Tata Ethical Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.94,1501.0,10,1.53,4.88,0.74,-1.6,27.9,13.1,150
Tata Flexi Cap Fund,Equity,Flexi Cap Funds,6,2,0.77,2096.0,5,1.23,-1.52,0.79,-2.5,21.3,8.9,150
Tata Floating Rate Fund,Debt,Floater Mutual Funds,2,4,0.3,225.0,2,-,-,-,5.6,18.5,8.9,150
Tata Focused Equity Fund,Equity,Focused Funds,6,3,0.46,1212.0,3,1.43,1.14,0.96,0.4,28.4,8.9,150
Tata Gilt Securities Fund,Debt,Gilt Mutual Funds,2,2,0.9,256.0,10,0.27,0.07,0.66,5.2,4.8,6.9,150
Tata Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,1.05,3166.0,10,1.47,2.77,0.84,6.2,22.8,10.5,150
Tata India Consumer Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,0.91,1346.0,7,1.31,1.38,0.73,2.8,23.0,10.6,150
Tata India Pharma & Healthcare Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.01,485.0,7,1,2.68,0.86,-8.1,21.7,14.8,150
Tata India Tax Savings Fund,Equity,ELSS Mutual Funds,6,0,0.76,3078.0,8,1.39,0.43,0.94,2.2,26.5,12.0,500
Tata Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.42,950.0,10,1.73,9.44,0.63,14.0,35.0,13.1,150
Tata Large & Mid Cap Fund,Equity,Large & Mid Cap Funds,6,4,0.89,3680.0,10,1.46,2.58,0.94,8.8,33.5,14.0,150
Tata Large Cap Fund,Equity,Large Cap Mutual Funds,6,2,1.24,1365.0,10,1.35,0.45,0.94,1.8,25.7,11.3,150
Tata Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.21,18212.0,10,0.93,1.42,0.8,5.6,4.4,5.3,150
Tata Mid Cap Growth Fund,Equity,Mid Cap Mutual Funds,6,3,0.98,1759.0,10,1.61,0.16,0.87,1.3,29.2,13.5,150
Tata Money Market Fund,Debt,Money Market Funds,3,5,0.17,8814.0,10,2.05,2.92,1.18,5.7,5.6,4.8,150
Tata Nifty 50 Index Fund,Other,Index Funds,6,3,0.16,369.0,10,1.31,-0.56,0.98,1.0,25.6,12.0,150
Tata Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.09,3236.0,4,-0.3,0.47,0.43,5.4,3.9,8.9,1000
Tata Resources & Energy Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.91,232.0,7,1.44,16.72,0.49,-3.4,34.7,15.5,150
Tata Retirement Savings Fund,Solution Oriented,Retirement Funds,6,3,0.68,1557.0,10,1.12,0.12,0.72,0.5,19.3,9.4,150
Tata Retirement Savings Fund,Solution Oriented,Retirement Funds,6,2,0.67,1259.0,10,1.26,0.52,0.79,-0.7,33.7,11.3,150
Tata Retirement Savings Fund,Solution Oriented,Retirement Funds,4,2,0.97,166.0,10,1.19,-1.98,0.79,2.1,9.5,7.1,150
Tata S&P BSE Sensex Index Fund,Other,Index Funds,6,4,0.27,174.0,10,1.26,-1.23,0.99,2.4,25.1,12.8,150
Tata Short Term Bond Fund,Debt,Short Duration Funds,2,3,0.37,2271.0,10,0.99,4.74,2.16,4.7,6.6,5.8,150
Tata Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,0.26,3300.0,4,2.12,11.28,0.77,17.1,44.1,8.9,150
Tata Treasury Advantage Fund,Debt,Low Duration Funds,2,3,0.3,2602.0,10,1.58,3.08,1.28,5.0,5.6,5.2,150
Tata Ultra Short Term Fund,Debt,Ultra Short Duration Funds,2,4,0.25,1629.0,4,2.03,2.45,1.1,5.5,5.1,8.9,150
Tata Young Citizens Fund,Solution Oriented,Childrens Funds,6,0,1.8,257.0,10,1.46,1.44,0.9,1.5,27.3,10.3,500
Taurus Banking & Financial Services-Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,4,1.66,8.91,10,0.93,-0.23,0.87,9.0,21.9,11.9,1000
Taurus Discovery (Midcap) Fund,Equity,Mid Cap Mutual Funds,6,3,2.19,74.0,10,1.27,-5.29,0.93,3.6,26.4,10.9,1000
Taurus Ethical Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.18,84.0,10,1.29,0.83,0.73,-3.5,22.3,11.4,1000
Taurus Flexi Cap Fund,Equity,Flexi Cap Funds,6,1,2.59,233.0,10,1.02,-4.83,0.91,-4.1,20.2,5.4,1000
Taurus Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,2.02,5.12,10,1.32,3.64,0.56,-0.7,25.3,8.9,1000
Taurus Largecap Equity Fund,Equity,Large Cap Mutual Funds,6,1,0.44,30.0,10,0.94,-5.6,0.96,-2.5,19.5,7.6,1000
Taurus Nifty 50 Index Fund,Other,Index Funds,6,0,0.44,2.38,10,1.33,-0.33,0.98,1.2,25.8,12.3,1000
Taurus Tax Shield – Direct Growth,Equity,ELSS Mutual Funds,6,3,1.73,59.0,10,1.47,2.15,0.76,6.8,24.4,10.6,500
Templeton India Equity Income Fund,Equity,Dividend Yield Funds,6,0,1.3,1350.0,10,2.26,13.72,0.7,8.3,37.7,14.5,500
Templeton India Value Fund,Equity,Value Funds,6,3,0.91,845.0,10,1.76,10.68,0.98,13.1,39.4,12.3,500
TRUSTMF Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,2,0.21,345.0,2,-,-,-,3.0,18.5,8.9,1000
TRUSTMF Liquid Fund,Debt,Liquid Mutual Funds,2,2,0.1,205.0,2,-,-,-,5.6,18.5,8.9,1000
TRUSTMF Short Term Fund,Debt,Short Duration Funds,2,2,0.23,94.0,2,-,-,-,4.2,18.5,8.9,1000
Union Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.44,72.0,4,0.63,1.51,0.79,5.0,4.4,8.9,500
Union Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3,3,0.94,1679.0,5,1.36,1.73,0.64,3.6,18.3,10.2,500
Union Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,2,0.45,390.0,5,0.6,1.1,0.85,3.1,6.2,8.9,1000
Union Dynamic Bond Fund,Debt,Dynamic Bond,3,1,1.29,92.0,10,0.04,-0.29,1.41,2.6,4.7,6.0,1000
Union Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,3,2,1.47,133.0,5,1.17,0.32,0.91,2.0,10.8,8.9,500
Union Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,1.06,1337.0,10,1.43,1.28,0.92,0.6,27.7,12.9,500
Union Focused Fund,Equity,Focused Funds,6,4,1.57,317.0,4,1.44,1.82,0.85,-0.1,26.2,8.9,500
Union Large & Midcap Fund,Equity,Large & Mid Cap Funds,6,3,1.2,396.0,3,1.42,2.26,0.93,0.7,27.6,8.9,500
Union Largecap Fund,Equity,Large Cap Mutual Funds,6,2,1.8,230.0,6,1.24,-1.55,0.97,0.1,24.3,9.9,1000
Union Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.07,1688.0,10,1,1.4,0.76,5.7,4.4,4.6,2000
Union Long Term Equity Fund,Equity,ELSS Mutual Funds,6,4,1.62,573.0,10,1.49,2.09,0.92,2.3,28.5,12.8,500
Union Medium Duration Fund,Debt,Medium Duration Funds,3,2,0.64,170.0,3,-,-,-,2.3,18.5,8.9,500
Union Money Market Fund,Debt,Money Market Funds,2,3,0.24,144.0,2,-,-,-,5.4,18.5,8.9,2000
Union Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.08,158.0,4,-0.04,0.55,0.42,5.4,3.9,8.9,2000
Union Small Cap Fund,Equity,Small Cap Mutual Funds,6,3,1.35,710.0,9,1.77,5.81,0.75,-0.1,37.1,12.8,500
Union Value Discovery Fund,Equity,Value Funds,6,3,1.59,144.0,4,1.43,2.11,0.99,2.9,29.7,8.9,500
UTI-Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.34,3532.0,10,1.11,1.42,0.5,5.4,4.7,5.5,500
UTI-Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,1,0.24,524.0,9,0.94,1.2,-1.51,11.0,7.9,5.6,500
UTI-Banking and Financial Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,1,1.39,824.0,10,0.98,1.05,0.94,8.2,24.4,6.7,500
UTI-Bond Fund,Debt,Medium to Long Duration Funds,3,5,1.29,285.0,10,0.96,5.68,0.72,12.0,10.4,4.4,500
UTI-CCF Investment Plan – Direct Growth,Solution Oriented,Childrens Funds,6,0,1.52,685.0,10,0.95,-0.7,0.94,-3.3,24.1,10.1,500
UTI-Core Equity Fund,Equity,Large & Mid Cap Funds,6,2,1.68,1506.0,10,1.58,4.97,0.96,4.1,30.7,10.2,500
UTI-Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,3,0.23,3092.0,5,0.89,1.63,0.74,4.2,6.5,8.9,500
UTI-Credit Risk Fund,Debt,Credit Risk Funds,4,4,0.81,438.0,10,0.41,0.94,-2.54,5.0,8.3,-0.9,500
UTI-Dividend Yield Fund,Equity,Dividend Yield Funds,6,0,1.45,2786.0,10,1.41,1.9,0.82,-1.5,26.8,11.3,500
UTI-Dynamic Bond Fund,Debt,Dynamic Bond,3,3,0.81,469.0,10,0.96,6.35,0.56,12.5,11.0,6.3,500
UTI-Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,3,4,0.68,257.0,5,1.75,3.98,0.91,6.1,14.7,8.9,0
UTI-Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,0.9,23944.0,10,1.14,-2.88,0.97,-9.0,22.5,12.2,500
UTI-Floater Fund,Debt,Floater Mutual Funds,2,3,0.35,1637.0,4,1.45,3.41,1.41,5.1,5.9,8.9,500
UTI-Gilt Fund,Debt,Gilt Mutual Funds,3,3,0.67,517.0,10,0.38,0.47,0.55,5.0,5.0,7.3,500
UTI-Healthcare Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.47,655.0,10,0.91,1.12,0.94,-9.0,22.0,12.0,500
UTI-Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,1.34,4286.0,10,1.69,5.77,0.84,5.3,25.8,9.8,500
UTI-India Consumer Fund,Equity,Sectoral / Thematic Mutual Funds,6,1,1.8,436.0,10,1.09,-1.44,0.71,-0.5,18.0,8.4,500
UTI-Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.92,1445.0,10,1.38,3.52,0.67,12.9,28.0,9.4,500
UTI-Liquid – Cash Plan – Direct Growth,Debt,Liquid Mutual Funds,2,4,0.14,31463.0,10,0.98,1.41,0.77,5.7,4.4,5.3,0
UTI-Long Term Equity Fund,Equity,ELSS Mutual Funds,6,3,0.95,2797.0,10,1.31,-0.52,0.92,-2.9,24.5,10.9,500
UTI-Mastershare – Direct Growth,Equity,Large Cap Mutual Funds,6,4,0.97,10312.0,10,1.29,-0.57,0.93,-2.0,24.2,11.5,500
UTI-Medium Term Fund,Debt,Medium Duration Funds,3,2,1.0,54.0,8,0.35,0.85,0.8,3.7,5.4,4.6,500
UTI-Mid Cap Fund,Equity,Mid Cap Mutual Funds,6,3,0.99,7077.0,10,1.65,1.03,0.89,0.4,31.1,11.4,500
UTI-MNC Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.24,2366.0,10,1.14,-0.64,0.62,3.3,18.1,7.9,500
UTI-Money Market Fund,Debt,Money Market Funds,3,4,0.2,7897.0,10,1.98,2.75,1.18,5.6,5.3,6.2,500
UTI-Multi Asset Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,2,1.04,860.0,10,1.28,1.01,0.64,4.9,16.5,7.5,500
UTI-Nifty 50 Index Fund,Other,Index Funds,6,3,0.2,9475.0,10,1.31,-0.6,1,0.9,26.2,12.0,500
UTI-Nifty Next 50 Index Fund,Other,Index Funds,6,2,0.33,1926.0,5,0.97,-4.62,0.99,-6.4,22.2,8.9,0
UTI-Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.07,5600.0,10,0.02,0.6,0.44,5.4,3.9,4.6,500
UTI-Regular Savings Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,1.2,1544.0,10,1.7,3.42,0.73,3.7,13.5,7.2,500
UTI-Retirement Benefit Pension Plan – Direct,Solution Oriented,Retirement Funds,5,0,1.05,3687.0,10,1.88,4.37,0.45,5.2,17.2,7.5,500
UTI-Short Term Income Fund,Debt,Short Duration Funds,3,5,0.33,2269.0,10,1.33,4.95,0.82,5.0,8.5,5.4,500
UTI-Transportation & Logistics Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.03,1908.0,10,1.57,10.26,0.83,14.1,32.9,5.1,500
UTI-Treasury Advantage Fund,Debt,Low Duration Funds,2,5,0.33,2565.0,10,1.14,3.18,0.14,5.2,7.3,4.8,500
UTI-Ultra Short Term Fund,Debt,Ultra Short Duration Funds,3,5,0.44,2130.0,10,1.3,2.62,0.49,5.4,6.1,5.7,500
UTI-Unit Linked Insurance Plan – Direct,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,0,0.96,5068.0,10,1.29,0.92,0.44,-0.7,13.1,6.2,500
UTI-Value Opportunities Fund,Equity,Value Funds,6,4,1.16,6740.0,10,1.48,2.73,0.9,1.7,27.2,12.2,500
WhiteOak Capital Liquid Fund,Debt,Liquid Mutual Funds,1,1,0.26,197.0,4,-0.07,0.93,0.72,5.3,3.8,8.9,500
WhiteOak Capital Overnight Fund,Debt,Overnight Mutual Funds,1,1,0.22,14.0,4,-0.07,0.93,0.72,1.7,32.4,13.3,500
WhiteOak Capital Ultra Short Term Fund,Debt,Ultra Short Duration Funds,1,2,0.33,141.0,4,0.8,1.2,0.47,5.3,4.5,8.9,500
